colnames,acs_vars
num_pov,S1701_C02_001
,
num_pov_children,S1701_C02_002
num_pov_over65,S1701_C02_010
,
num_pov_white_alone,S1701_C02_013
num_pov_black_alone,S1701_C02_014
num_pov_asian_alone,S1701_C02_016
num_pov_anai_alone,S1701_C02_015
num_pov_nhpi_alone,S1701_C02_017
num_pov_other_alone,S1701_C02_018
,
num_pov_two_or_more,S1701_C02_019
num_pov_hisp,S1701_C02_020
num_pov_white,S1701_C02_021
,
num_pov_male,S1701_C02_011
num_pov_female,S1701_C02_012
,
num_pov_over_25,S1701_C02_022
num_pov_bach,S1701_C02_026
num_pov_less_than_hs,S1701_C02_023
,
,
num_pov_civ_labor_force,S1701_C02_027
num_pov_unemployed,S1701_C02_031
,
,
num_pov_noninst_pop,S2701_C01_061
num_pov_disability_under_18,C18130_004
num_pov_no_disability_under_18,C18130_007
num_pov_disability_18_64,C18130_011
num_pov_no_disability_18_64,C18130_014
num_pov_disability_65_over,C18130_018
num_pov_no_disability_65_over,C18130_021
,
num_pov_noninst_pop,S2701_C01_061
num_pov_unins,S2701_C04_061
,
,
num_pov_civ_18_older,sum of below 4
num_pov_veteran_18_64,C21007_004
num_pov_nonveteran_18_64,C21007_011
num_pov_veteran_65_over,C21007_019
num_pov_nonveteran_65_over,C21007_026
