colnames,acs_vars,notes
num_children,DP05_0019,
,,
num_under19_noninst,B27010_002,
num_under19_unins,B27010_017,
,,
num_under18_noninst,C18108_002,
num_under18_one_disability,C18108_003,
num_under18_two_or_more_disability,C18108_004,
,,
num_under18_pov_under_6,B17020_003,
num_under18_pov_6_11,B17020_004,
num_under18_pov_12_17,B17020_005,
num_under18_pov_pop,S1701_C01_002,
,,
num_5_17_limited_eng_hh,B16003_002,
num_5_17_in_hh,B16004_002,
,,
num_under5_white_alone_male,B01001A_003,
num_5_9_white_alone_male,B01001A_004,
num_10_14_white_alone_male,B01001A_005,
num_15_17_white_alone_male,B01001A_006,
num_under5_white_alone_female,B01001A_018,
num_5_9_white_alone_female,B01001A_019,
num_10_14_white_alone_female,B01001A_020,
num_15_17_white_alone_female,B01001A_021,
,,
,,
num_under5_black_alone_male,B01001B_003,
num_5_9_black_alone_male,B01001B_004,
num_10_14_black_alone_male,B01001B_005,
num_15_17_black_alone_male,B01001B_006,
num_under5_black_alone_female,B01001B_018,
num_5_9_black_alone_female,B01001B_019,
num_10_14_black_alone_female,B01001B_020,
num_15_17_black_alone_female,B01001B_021,
,,
,,
num_under5_anai_alone_male,B01001C_003,
num_5_9_anai_alone_male,B01001C_004,
num_10_14_anai_alone_male,B01001C_005,
num_15_17_anai_alone_male,B01001C_006,
num_under5_anai_alone_female,B01001C_018,
num_5_9_anai_alone_female,B01001C_019,
num_10_14_anai_alone_female,B01001C_020,
num_15_17_anai_alone_female,B01001C_021,
,,
num_under5_asian_alone_male,B01001D_003,
num_5_9_asian_alone_male,B01001D_004,
num_10_14_asian_alone_male,B01001D_005,
num_15_17_asian_alone_male,B01001D_006,
num_under5_asian_alone_female,B01001D_018,
num_5_9_asian_alone_female,B01001D_019,
num_10_14_asian_alone_female,B01001D_020,
num_15_17_asian_alone_female,B01001D_021,
,,
num_under5_nhpi_alone_male,B01001E_003,
num_5_9_nhpi_alone_male,B01001E_004,
num_10_14_nhpi_alone_male,B01001E_005,
num_15_17_nhpi_alone_male,B01001E_006,
num_under5_nhpi_alone_female,B01001E_018,
num_5_9_nhpi_alone_female,B01001E_019,
num_10_14_nhpi_alone_female,B01001E_020,
num_15_17_nhpi_alone_female,B01001E_021,
,,
num_under5_other_alone_male,B01001F_003,
num_5_9_other_alone_male,B01001F_004,
num_10_14_other_alone_male,B01001F_005,
num_15_17_other_alone_male,B01001F_006,
num_under5_other_alone_female,B01001F_018,
num_5_9_other_alone_female,B01001F_019,
num_10_14_other_alone_female,B01001F_020,
num_15_17_other_alone_female,B01001F_021,
,,
num_under5_two_or_more_alone_male,B01001G_003,
num_5_9_two_or_more_alone_male,B01001G_004,
num_10_14_two_or_more_alone_male,B01001G_005,
num_15_17_two_or_more_alone_male,B01001G_006,
num_under5_two_or_more_alone_female,B01001G_018,
num_5_9_two_or_more_alone_female,B01001G_019,
num_10_14_two_or_more_alone_female,B01001G_020,
num_15_17_two_or_more_alone_female,B01001G_021,
,,
num_under5_white_male,B01001H_003,
num_5_9_white_male,B01001H_004,
num_10_14_white_male,B01001H_005,
num_15_17_white_male,B01001H_006,
num_under5_white_female,B01001H_018,
num_5_9_white_female,B01001H_019,
num_10_14_white_female,B01001H_020,
num_15_17_white_female,B01001H_021,
,,
num_under5_hispanic_male,B01001I_003,
num_5_9_hispanic_male,B01001I_004,
num_10_14_hispanic_male,B01001I_005,
num_15_17_hispanic_male,B01001I_006,
num_under5_hispanic_female,B01001I_018,
num_5_9_hispanic_female,B01001I_019,
num_10_14_hispanic_female,B01001I_020,
num_15_17_hispanic_female,B01001I_021,
