colnames,acs_vars
num_no_internet,B28002_013
num_hhs,DP02_0001
num_25_older,DP02_0058
num_bach,DP02_0064
pct_bach,DP02_0064P
num_hs_or_higher,DP02_0066
pct_hs_or_higher,DP02_0066P
num_civ_pop_18_older,DP02_0068
num_veterans,DP02_0069
pct_veterans,DP02_0069P
num_disability,DP02_0071
pct_disability,DP02_0071P
num_16_older,DP03_0001
num_unemp,DP03_0005
pct_unemp,DP03_0009P
num_noninst_pop,DP03_0095
num_unins,DP03_0099
pct_unins,DP03_0099P
num_occ_units,DP04_0045
num_renters,DP04_0047
pct_renters,DP04_0047P
num_renter_hh,DP04_0136
num_cb_renter_hh,DP04_0142
pct_cb_renter_hh,DP04_0142P
num_pop,DP05_0001
num_under_5,DP05_0005
num_children,DP05_0019
pct_children,DP05_0019P
num_seniors,DP05_0024
pct_seniors,DP05_0024P
num_hisp,DP05_0071
pct_hisp,DP05_0071P
num_white,DP05_0077
pct_white,DP05_0077P
num_black,DP05_0078
pct_black,DP05_0078P
num_anai,DP05_0079
num_asian,DP05_0080
pct_asian,DP05_0080P
num_nhpi,DP05_0081
num_other,DP05_0082
num_two_or_more,DP05_0083
num_limited_eng_hh,S1602_C03_001
pct_limited_eng_hh,S1602_C04_001
num_pov_calc_pop,S1701_C01_001
num_under_200_poverty_line,S1701_C01_042
num_pov,S1701_C02_001
pct_under_poverty_line,S1701_C03_001
